"","fish_id","bin","LLLL","LLLR","LLRL","LLRR","LRLL","LRLR","LRRL","LRRR","RLLL","RLLR","RLRL","RLRR","RRLL","RRLR","RRRL","RRRR","L","R","total_turns","reps","alts","rel_reps","rel_alts","rel_R","rel_L"
"1","1","1",3,4,10,5,10,69,10,14,4,11,69,19,6,18,14,14,127,156,283,17,138,6.00706713780919,48.7632508833922,55.1236749116608,44.8763250883392
"2","1","2",7,4,8,5,9,15,9,7,4,9,16,11,5,12,7,4,66,69,135,11,31,8.14814814814815,22.962962962963,51.1111111111111,48.8888888888889
"3","1","3",3,4,5,5,6,7,7,6,4,6,8,9,4,9,6,5,44,53,97,8,15,8.24742268041237,15.4639175257732,54.639175257732,45.360824742268
"4","1","4",2,1,1,3,3,2,2,5,1,3,5,4,1,7,5,3,21,30,51,5,7,9.80392156862745,13.7254901960784,58.8235294117647,41.1764705882353
"5","1","5",0,1,0,3,0,0,2,2,0,2,1,1,2,2,2,0,10,11,21,0,1,0,4.76190476190476,52.3809523809524,47.6190476190476
"6","1","6",0,0,1,1,1,1,0,2,0,1,1,1,0,2,2,1,7,10,17,1,2,5.88235294117647,11.7647058823529,58.8235294117647,41.1764705882353
"7","100","1",18,6,7,10,8,8,9,6,6,11,9,5,9,6,6,3,72,58,130,21,17,16.1538461538462,13.0769230769231,44.6153846153846,55.3846153846154
"8","100","2",0,1,0,3,0,3,4,1,1,2,3,2,3,2,1,0,14,15,29,0,6,0,20.6896551724138,51.7241379310345,48.2758620689655
"9","100","3",1,2,3,2,3,8,3,4,3,3,8,4,3,4,4,3,29,32,61,4,16,6.55737704918033,26.2295081967213,52.4590163934426,47.5409836065574
"10","100","4",0,1,2,2,3,4,1,4,1,3,5,3,1,4,4,10,17,34,51,10,9,19.6078431372549,17.6470588235294,66.6666666666667,33.3333333333333
"11","100","5",0,0,1,0,0,2,4,2,0,2,1,5,2,4,2,2,11,19,30,2,3,6.66666666666667,10,63.3333333333333,36.6666666666667
"12","100","6",1,1,1,2,1,2,5,3,0,2,2,6,1,6,2,2,16,24,40,3,4,7.5,10,60,40
"13","101","1",6,7,12,8,14,577,12,5,7,13,579,9,6,11,5,5,643,636,1279,11,1156,0.860046911649726,90.3831118060985,49.7263487099296,50.2736512900704
"14","101","2",0,0,0,0,0,218,0,0,0,0,219,0,0,0,0,0,220,220,440,0,437,0,99.3181818181818,50,50
"15","101","3",0,0,0,0,0,73,0,0,0,0,74,0,0,0,0,0,75,75,150,0,147,0,98,50,50
"16","101","4",0,0,0,0,0,113,0,0,0,0,114,0,0,0,0,0,115,115,230,0,227,0,98.695652173913,50,50
"17","101","5",0,0,0,0,0,63,0,0,0,0,64,0,0,0,0,0,65,65,130,0,127,0,97.6923076923077,50,50
"18","101","6",0,0,0,0,0,46,0,0,0,0,46,0,0,0,0,0,47,48,95,0,92,0,96.8421052631579,50.5263157894737,49.4736842105263
"19","102","1",0,0,0,0,0,618,0,0,0,0,617,0,0,0,0,0,619,619,1238,0,1235,0,99.7576736672052,50,50
"20","102","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"21","102","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"22","102","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"23","102","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"24","102","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"25","13","1",1,2,2,2,1,4,1,5,2,2,4,4,2,4,5,20,20,44,64,21,8,32.8125,12.5,68.75,31.25
"26","13","2",4,4,3,4,4,5,4,3,4,4,6,3,3,4,3,3,33,31,64,7,11,10.9375,17.1875,48.4375,51.5625
"27","13","3",0,0,0,0,0,0,1,4,0,0,0,5,1,5,5,25,7,42,49,25,0,51.0204081632653,0,85.7142857142857,14.2857142857143
"28","13","4",0,0,0,0,0,0,1,4,0,0,0,5,0,5,4,48,5,65,70,48,0,68.5714285714286,0,92.8571428571429,7.14285714285714
"29","13","5",0,0,0,0,0,1,1,4,0,0,1,5,0,4,3,28,6,44,50,28,2,56,4,88,12
"30","13","6",0,0,1,0,0,1,0,4,0,1,0,4,1,3,4,65,6,81,87,65,1,74.7126436781609,1.14942528735632,93.1034482758621,6.89655172413793
"31","14","1",2,6,9,5,8,14,8,8,6,8,13,10,6,10,8,15,61,78,139,17,27,12.2302158273381,19.4244604316547,56.1151079136691,43.8848920863309
"32","14","2",3,4,3,3,2,7,4,4,4,2,6,5,4,3,3,4,30,34,64,7,13,10.9375,20.3125,53.125,46.875
"33","14","3",10,3,4,3,3,2,4,0,3,3,1,1,3,1,0,0,30,14,44,10,3,22.7272727272727,6.81818181818182,31.8181818181818,68.1818181818182
"34","14","4",1,2,1,2,1,6,4,1,2,2,6,3,3,2,1,0,20,20,40,1,12,2.5,30,50,50
"35","14","5",4,2,1,1,3,6,1,0,2,0,8,0,0,1,0,0,20,12,32,4,14,12.5,43.75,37.5,62.5
"36","14","6",8,4,3,3,3,2,3,1,4,1,3,1,2,2,1,1,29,16,45,9,5,20,11.1111111111111,35.5555555555556,64.4444444444444
"37","16","1",9,8,10,6,10,3,5,3,8,8,3,2,5,2,3,1,55,34,89,10,6,11.2359550561798,6.74157303370786,38.2022471910112,61.7977528089888
"38","16","2",0,1,1,4,2,2,4,6,1,3,3,6,2,7,5,18,20,48,68,18,5,26.4705882352941,7.35294117647059,70.5882352941177,29.4117647058824
"39","16","3",0,0,0,1,0,0,0,4,0,1,0,2,1,2,3,22,5,34,39,22,0,56.4102564102564,0,87.1794871794872,12.8205128205128
"40","16","4",0,0,0,0,0,2,1,3,0,0,2,4,0,4,3,14,6,30,36,14,4,38.8888888888889,11.1111111111111,83.3333333333333,16.6666666666667
"41","16","5",0,0,0,0,0,1,0,2,0,0,1,2,0,3,3,8,4,19,23,8,2,34.7826086956522,8.69565217391304,82.6086956521739,17.3913043478261
"42","16","6",0,0,1,0,0,3,1,1,0,1,2,2,1,1,1,7,7,17,24,7,5,29.1666666666667,20.8333333333333,70.8333333333333,29.1666666666667
"43","17","1",9,6,8,0,7,7,0,2,5,3,6,2,1,1,2,3,41,24,65,12,13,18.4615384615385,20,36.9230769230769,63.0769230769231
"44","17","2",3,5,9,5,9,11,5,8,4,9,12,8,4,9,8,10,57,65,122,13,23,10.655737704918,18.8524590163934,53.2786885245902,46.7213114754098
"45","17","3",13,9,8,9,7,8,5,10,9,8,7,6,9,6,10,15,70,72,142,28,15,19.7183098591549,10.5633802816901,50.7042253521127,49.2957746478873
"46","17","4",2,2,2,5,4,7,8,7,2,5,8,10,3,11,6,10,37,58,95,12,15,12.6315789473684,15.7894736842105,61.0526315789474,38.9473684210526
"47","17","5",0,1,1,4,4,8,4,5,1,4,11,5,1,8,6,19,28,57,85,19,19,22.3529411764706,22.3529411764706,67.0588235294118,32.9411764705882
"48","17","6",0,0,1,3,2,3,2,7,0,5,4,6,3,7,8,16,20,50,70,16,7,22.8571428571429,10,71.4285714285714,28.5714285714286
"49","2","1",1,7,4,5,2,6,7,11,7,2,4,13,7,11,11,29,44,86,130,30,10,23.0769230769231,7.69230769230769,66.1538461538462,33.8461538461538
"50","2","2",1,2,4,1,2,13,8,9,2,3,11,15,3,13,8,13,40,71,111,14,24,12.6126126126126,21.6216216216216,63.963963963964,36.036036036036
